ID.1,ID,Lowtag,Name,Recap,PIT_tag,Species,Year,Capture_date,Collar_start,Fate_date,Field_crew,Study_area,Latitude,Longitude,Trap.type,Sex,Age,Collar.ID,Frequency,Collar_model,DOP_type,Left_eartag,Left_color,Right_eartag,Right_color,Parasites,Body_condition,Hind_foot,Chest_girth,Body_length,biopsy,blood,Cannon_foot,Weight,Head_circ,Neck_circ,Tail_length,Ear_length_R,Ear_length_L,Left_upper_canine,Left_lower_canine,Right_upper_canine,Right_lower_canine,Samples,Nursed,Pelage,Handling_time,VIT,VIT_frequency,Mortality,Mortality_cause,Mortality_date,Censor,Censor_cause,Censor_date,Comments,data_comments
D1170,1170,96,NA,New,NA,WTD,2023,3/21/2023,3/21/2023,3/20/2024,"TK, SH, MC",Touch of Nature,39.6309,-89.15554,Drop Net,Female,Adult (2+yr),150978,151.365,CAM S,HDOP,174,green,96,red,NA,2,41,89.5,150,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dropoff,3/20/2024,Converted buck cam collar back to doe,
B192,192,NA,Rambutan,New,846012066,Bobcat,2023,3/21/2023,3/21/2023,NA,NA,Larry Baer - Blind1,NA,NA,Foothold,Male,3-6 years,151035,151.785,250,HDOP,NA,NA,NA,NA,None,3,16.5 cm,NA,79.5 cm,NA,NA,NA,9,30 cm,26.5 cm,7.5 cm,4.7 cm,5.8 cm,Missing,13 mm,NA,NA,"Whole blood, whiskers, fur, ear punch",No,Normal,20 min,NA,NA,NA,NA,NA,NA,NA,NA,"Some ticks, dehydrated, missing lower left canine, right front catch, lesion on forearm, small cut on catch foot, missing patches of fur on right arm, collar 3 holes from end",
D1171,1171,12,NA,New,NA,WTD,2023,3/22/2023,3/22/2023,3/21/2024,"TK, MC",Touch of Nature,39.6309,-89.15554,Drop Net,Female,Adult (2+yr),150979,151.375,CAM S,HDOP,173,green,12,yellow,NA,4,38,86,157,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dropoff,3/21/2024,Converted buck cam collar back to doe,
D1213,1213,NA,NA,New,NA,WTD,2022,3/23/2023,3/23/2023,9/3/2023,NA,SIUC,"37.706784,",-89.229,Clover Trap,Female,adult,81440,151.3,420,HDOP,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
D1201,1201,177,NA,New,NA,WTD,2023,3/23/2023,3/23/2023,3/29/2023,"ME, JT",SIUC,37.71139,-89.2332,Clover Trap,Female,Adult (2+yr),88255,151.55,420+,PDOP,NA,NA,177,green,NA,4,40,82,139,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,unknown,3/29/2023,NA,
D1109,1109,483,NA,Recap,NA,WTD,2023,3/25/2023,3/25/2023,1/3/2024,"PT, BS, DG, SJ",Shelbyville,39.57524,-88.70556,Drop Net,Female,Adult (2+yr),152285,151.25,420+,PDOP,NA,NA,483,metal,NA,2,44.5,90,136,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"old collar: 151.030, 89265. new collar is as tight as it goes but still loose, had lots of rubbing from old collar, was not vit-able",
D1202,1202,NA,NA,New,NA,WTD,2023,3/26/2023,3/26/2023,NA,"TK, AW",SIUC,37.71139,-89.2332,Clover Trap,Male,Yearling (1-2 yr),152277,151.13,500+,PDOP,NA,NA,NA,NA,NA,3,45,80,157,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous injury on right shoulder, bloody nubs",
D1196,1196,130,NA,New,NA,WTD,2023,3/27/2023,3/27/2023,9/21/2023,"PT, SH",Shelbyville,39.48515,-88.7024,Dart Gun,Female,Adult (2+yr),85730,152,420,HDOP,130,pink,NA,NA,NA,3,46,-,153,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,NA,"8:40 found her head in water, worked her up as fast as we could, did not VIT because she was down for 1 hour",
D1197,1197,25,NA,New,NA,WTD,2023,3/28/2023,3/28/2023,9/18/2023,"PT, SJ, DG",Shelbyville,39.4465,-88.77516,Drop Net,Female,Adult (2+yr),152292,151.32,420+,PDOP,25,yellow,112,orange,NA,3,46,100.5,152,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20384,151.8,NA,NA,NA,NA,NA,NA,"caught with fawn, sedated easily, obviously pregnant",
D1198,1198,49,NA,New,NA,WTD,2023,3/28/2023,3/28/2023,10/25/2023,"BS, CP",Shelbyville,39.53727,-88.63196,Drop Net,Female,Adult (2+yr),87553,151.03,420,HDOP,108,orange,49,white,NA,4,46,95,156,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hunted? Collar at rambling rose guide service,NA,NA,NA,NA,"originally dropped on doe and fawn but fawn escapped, visibly pregnant, walked a few meters and sat back down",
D1203,1203,95,NA,New,NA,WTD,2023,3/29/2023,NA,NA,ME,SIUC,37.7101,-89.2321,Clover Trap,Female,Adult (2+yr),NA,151.101,420,HDOP,95,NA,NA,NA,NA,5,47,98,121,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"***collar never activated***Unsure which ear, ear tag was placed in. Datasheet? 89263",89263 never activated
D1199,1199,26,NA,New,NA,WTD,2023,3/29/2023,3/29/2023,NA,"PT, SH",Shelbyville,39.48234,-88.70712,Dart Gun,Female,Adult (2+yr),87570,151.2,420,HDOP,131,pink,26,yellow,NA,2,46,97,150,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"went down easy, smooth processing, walked off slowly after reversal",
D1204,1204,11,NA,New,NA,WTD,2023,3/30/2023,3/30/2023,12/6/2023,"ME, JT, R",SIUC,37.7101,-89.2321,Clover Trap,Male,Yearling (1-2 yr),152273,150.09,500+,PDOP,NA,NA,11,yellow,NA,5,34,69,115,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
D1200,1200,27,NA,New,NA,WTD,2023,3/30/2023,3/30/2023,2/20/2024,"PT, SH, SJ",Shelbyville,39.45401,-88.7634,Clover Trap,Female,Yearling (1-2 yr),87558,151.08,420,HDOP,27,yellow,28,yellow,NA,3,42,85,125,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"had to be bumped, twitching through out processing, walked off easy after reversal, drew blood from right leg",
D1227,1227,3207,NA,Recap,NA,WTD,2024,12/6/2023 15:35,12/6/2023 15:35,NA,"TK, JS, CV",Touch of Nature,37.63076,-89.1557,Drop,Female,Adult,150966,151.245,420,HDOP,3207,Grey,3208,Grey,NA,4,46,89,162,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Old eartags were gone,
D3155,3155,3155,NA,New,NA,WTD,2024,12/6/2023 15:45,12/6/2023 15:45,12/7/2024,"TK, JS, CV",Touch of Nature,37.63076,-89.1557,Drop,Male,YoungOfYear,155196,152.62,500+,PDOP,3155,Grey,3156,Grey,NA,4,39,70,112,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,slipped collar,NA,"fit with 500+, 152275 (150.110), but kicked the next day (12/7/23). recollared with 155196 on 1/27/24, but kicked again 1/28",
D3183,3183,3183,Arthur,New,NA,WTD,2024,12/6/2023 15:45,12/6/2023 15:45,NA,"TK, JS, CV",Touch of Nature,37.63076,-89.1557,Drop,Male,YoungOfYear,152270,150.06,500+,PDOP,3183,Grey,3184,Grey,NA,4,37,68,106,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ripped out 3184 grey tag,
D3165,3165,3165,NA,New,NA,WTD,2024,12/10/2023 16:11,12/10/2023 16:11,NA,"TK, JS, CV, HR, AM",Touch of Nature,37.62002,-89.1583,Drop,Female,YoungOfYear,150961,151.195,420,HDOP,3165,Grey,3166,Grey,1 tick,3,37.5,67,112,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Na,NA,NA,NA,NA,NA,NA,,
D3215,3215,3215,NA,New,NA,WTD,2024,12/10/2023 16:11,12/10/2023 16:11,NA,"TK, JS, CV, HR, AM",Touch of Nature,37.62002,-89.1583,Drop,Female,Yearling,152287,151.27,420+,PDOP,3215,Grey,3216,Grey,NA,4,42,91,142,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20385,151.81,NA,NA,NA,NA,NA,NA,,
D3229,3229,3229,NA,New,NA,WTD,2024,12/11/2023 8:20,12/11/2023 8:20,12/16/2023,"TK, JS, CV, AM",Touch of Nature,37.63565,-89.1707,Clover,Female,Yearling,150969,151.275,420,HDOP,3229,Grey,3230,Grey,NA,4,40.5,87,132,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,unknown,12/16/2023,yes,mortality,12/16/2023,mort 12/16/23,
